id,薬価コード,成分名,商品名,薬効分類コード,成分グループ,剤形コード,規格番号,銘柄番号,check_digit,規格,先発後発区分,削除フラグ
164,1129009F2021,ゾルピデム酒石酸塩,マイスリー錠１０ｍｇ,1129,9,F,2,2,1,１０ｍｇ１錠,先発,False
165,1129009F2048,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,1129,9,F,2,4,8,１０ｍｇ１錠,後発,False
166,1129009F2064,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,1129,9,F,2,6,4,１０ｍｇ１錠,後発,False
167,1129009F2110,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＪＧ」,1129,9,F,2,11,0,１０ｍｇ１錠,後発,False
168,1129009F2161,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,1129,9,F,2,16,1,１０ｍｇ１錠,後発,False
169,1129009F2170,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,1129,9,F,2,17,0,１０ｍｇ１錠,後発,False
170,1129009F2188,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,1129,9,F,2,18,8,１０ｍｇ１錠,後発,False
171,1129009F2218,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,1129,9,F,2,21,8,１０ｍｇ１錠,後発,False
172,1129009F2234,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,1129,9,F,2,23,4,１０ｍｇ１錠,後発,False
173,1129009F2242,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,1129,9,F,2,24,2,１０ｍｇ１錠,後発,False
174,1129009F2269,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,1129,9,F,2,26,9,１０ｍｇ１錠,後発,False
175,1129009F2285,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,1129,9,F,2,28,5,１０ｍｇ１錠,後発,False
176,1129009F2293,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,1129,9,F,2,29,3,１０ｍｇ１錠,後発,False
177,1129009F2307,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「日新」,1129,9,F,2,30,7,１０ｍｇ１錠,後発,False
178,1129009F2331,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「明治」,1129,9,F,2,33,1,１０ｍｇ１錠,後発,False
179,1129009F2358,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,1129,9,F,2,35,8,１０ｍｇ１錠,後発,False
180,1129009F2366,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,1129,9,F,2,36,6,１０ｍｇ１錠,後発,False
181,1129009F2374,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」,1129,9,F,2,37,4,１０ｍｇ１錠,後発,False
182,1129009F3010,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,1129,9,F,3,1,0,５ｍｇ１錠,後発,False
183,1129009F3052,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤフィルム５ｍｇ「モチダ」,1129,9,F,3,5,2,５ｍｇ１錠,後発,False
184,1129009F3079,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「日医工」,1129,9,F,3,7,9,５ｍｇ１錠,後発,False
185,1129009F4040,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,1129,9,F,4,4,0,１０ｍｇ１錠,後発,False
186,1129009F4059,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,1129,9,F,4,5,9,１０ｍｇ１錠,後発,False
187,1129009F4067,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,1129,9,F,4,6,7,１０ｍｇ１錠,後発,False
188,1129009F4075,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「日医工」,1129,9,F,4,7,5,１０ｍｇ１錠,後発,False
189,1129009S1023,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,1129,9,S,1,2,3,５ｍｇ１ｍＬ１包,後発,False
190,1129009S2020,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,1129,9,S,2,2,0,１０ｍｇ２ｍＬ１包,後発,False
191,1129010F1010,エスゾピクロン,エスゾピクロン１ｍｇ錠,1129,10,F,1,1,0,１ｍｇ１錠,後発,False
192,1129010F1028,エスゾピクロン,ルネスタ錠１ｍｇ,1129,10,F,1,2,8,１ｍｇ１錠,先発,False
193,1129010F1044,エスゾピクロン,エスゾピクロン錠１ｍｇ「ＫＭＰ」,1129,10,F,1,4,4,１ｍｇ１錠,後発,False
194,1129010F1052,エスゾピクロン,エスゾピクロン錠１ｍｇ「ＮＰＩ」,1129,10,F,1,5,2,１ｍｇ１錠,後発,False
195,1129010F1079,エスゾピクロン,エスゾピクロン錠１ｍｇ「ＹＤ」,1129,10,F,1,7,9,１ｍｇ１錠,後発,False
196,1129010F1150,エスゾピクロン,エスゾピクロン錠１ｍｇ「明治」,1129,10,F,1,15,0,１ｍｇ１錠,後発,False
197,1129010F2016,エスゾピクロン,エスゾピクロン２ｍｇ錠,1129,10,F,2,1,6,２ｍｇ１錠,後発,False
198,1129010F2024,エスゾピクロン,ルネスタ錠２ｍｇ,1129,10,F,2,2,4,２ｍｇ１錠,先発,False
