id,変換前(商品名/誤字),変換後(成分名)
208,エスゾピクロン錠３ｍｇ「日新」,エスゾピクロン
209,エスゾピクロン錠３ｍｇ「明治」,エスゾピクロン
210,クランポール末,アセチルフェネトライド
211,クランポール錠２００ｍｇ,アセチルフェネトライド
212,アクセノン末,エトトイン
213,フェニトイン散,フェニトイン
214,フェニトイン錠,フェニトイン
215,アレビアチン錠２５ｍｇ,フェニトイン
216,アレビアチン錠１００ｍｇ,フェニトイン
217,ミノアレ散６６．７％,トリメタジオン
218,プリミドン細粒９９．５％「日医工」,プリミドン
219,プリミドン錠２５０ｍｇ「日医工」,プリミドン
220,オスポロット錠５０ｍｇ,スルチアム
221,オスポロット錠２００ｍｇ,スルチアム
222,エピレオプチマル散５０％,エトスクシミド
223,ザロンチンシロップ５％,エトスクシミド
224,カルバマゼピン細粒５０％「アメル」,カルバマゼピン
225,テグレトール細粒５０％,カルバマゼピン
226,カルバマゼピン細粒５０％「フジナガ」,カルバマゼピン
227,テグレトール錠２００ｍｇ,カルバマゼピン
228,カルバマゼピン錠２００ｍｇ「アメル」,カルバマゼピン
229,カルバマゼピン錠２００ｍｇ「フジナガ」,カルバマゼピン
230,カルバマゼピン１００ｍｇ錠,カルバマゼピン
231,テグレトール錠１００ｍｇ,カルバマゼピン
232,リボトリール細粒０．１％,クロナゼパム
233,ランドセン細粒０．１％,クロナゼパム
234,リボトリール細粒０．５％,クロナゼパム
235,ランドセン細粒０．５％,クロナゼパム
236,リボトリール錠０．５ｍｇ,クロナゼパム
237,ランドセン錠０．５ｍｇ,クロナゼパム
238,リボトリール錠１ｍｇ,クロナゼパム
239,ランドセン錠１ｍｇ,クロナゼパム
240,リボトリール錠２ｍｇ,クロナゼパム
241,ランドセン錠２ｍｇ,クロナゼパム
242,バルプロ酸ナトリウム細粒２０％「ＥＭＥＣ」,バルプロ酸ナトリウム
243,デパケン細粒２０％,バルプロ酸ナトリウム
244,デパケン細粒４０％,バルプロ酸ナトリウム
245,バルプロ酸ナトリウム細粒４０％「ＥＭＥＣ」,バルプロ酸ナトリウム
246,セレニカＲ顆粒４０％,バルプロ酸ナトリウム
247,バルプロ酸Ｎａ徐放顆粒４０％「フジナガ」,バルプロ酸ナトリウム
248,バルプロ酸ナトリウム１００ｍｇ錠,バルプロ酸ナトリウム
249,デパケン錠１００ｍｇ,バルプロ酸ナトリウム
250,バルプロ酸Ｎａ錠１００ｍｇ「フジナガ」,バルプロ酸ナトリウム
251,バルプロ酸ナトリウム錠２００ｍｇ「アメル」,バルプロ酸ナトリウム
252,デパケン錠２００ｍｇ,バルプロ酸ナトリウム
253,バルプロ酸Ｎａ錠２００ｍｇ「フジナガ」,バルプロ酸ナトリウム
254,バルプロ酸ナトリウム錠２００ｍｇ「ＤＳＰ」,バルプロ酸ナトリウム
